"id","name","location_id","usage"
"physical_locations__gba__stock_gudang_betalaktam","Gudang Betalaktam","Physical Locations / GBA / Stock","View"
"physical_locations__gba__stock__gudang_betalaktam_palet_a1","Palet A1","Physical Locations / GBA / Stock / Gudang Betalaktam","Internal Location"
"physical_locations__gba__stock__gudang_betalaktam_palet_a2","Palet A2","Physical Locations / GBA / Stock / Gudang Betalaktam","Internal Location"
"physical_locations__gba__stock__gudang_betalaktam_palet_a3","Palet A3","Physical Locations / GBA / Stock / Gudang Betalaktam","Internal Location"
"physical_locations__gba__stock__gudang_betalaktam_palet_a4","Palet A4","Physical Locations / GBA / Stock / Gudang Betalaktam","Internal Location"
"physical_locations__gba__stock__gudang_betalaktam_palet_a5","Palet A5","Physical Locations / GBA / Stock / Gudang Betalaktam","Internal Location"
"physical_locations__gba__stock_stock_2","Stock 2","Physical Locations / GBA / Stock","View"
"physical_locations__gba__stock__stock_2_palet_a1","Palet A1","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_a2","Palet A2","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_a3","Palet A3","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_a4","Palet A4","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_b1","Palet B1","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_b2","Palet B2","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_b3","Palet B3","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_b4","Palet B4","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_c1","Palet C1","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_c2","Palet C2","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_c3","Palet C3","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_c4","Palet C4","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_d1","Palet D1","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_d2","Palet D2","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_d3","Palet D3","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_d4","Palet D4","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock__stock_2_palet_d5","Palet D5","Physical Locations / GBA / Stock / Stock 2","Internal Location"
"physical_locations__gba__stock_stock_3","Stock 3","Physical Locations / GBA / Stock","View"
"physical_locations__gba__stock__stock_3_palet_a1","Palet A1","Physical Locations / GBA / Stock / Stock 3","Internal Location"
"physical_locations__gba__stock__stock_3_palet_a2","Palet A2","Physical Locations / GBA / Stock / Stock 3","Internal Location"
"physical_locations__gba__stock__stock_3_palet_a3","Palet A3","Physical Locations / GBA / Stock / Stock 3","Internal Location"
"physical_locations__gba__stock__stock_3_palet_a4","Palet A4","Physical Locations / GBA / Stock / Stock 3","Internal Location"
"physical_locations__gba__stock__stock_3_palet_a5","Palet A5","Physical Locations / GBA / Stock / Stock 3","Internal Location"
"physical_locations__gbk__stock_stock_primer_1","Stock Primer 1","Physical Locations / GBK / Stock","View"
"physical_locations__gbk__stock__stock_primer_1_palet_a1","Palet A1","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a2","Palet A2","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a3","Palet A3","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a4","Palet A4","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a5","Palet A5","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a6","Palet A6","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a7","Palet A7","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a8","Palet A8","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a9","Palet A9","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a10","Palet A10","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a11","Palet A11","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a12","Palet A12","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a13","Palet A13","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a14","Palet A14","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a15","Palet A15","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a16","Palet A16","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a17","Palet A17","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a18","Palet A18","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a19","Palet A19","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a20","Palet A20","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a21","Palet A21","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a22","Palet A22","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a23","Palet A23","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a24","Palet A24","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a25","Palet A25","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a26","Palet A26","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a27","Palet A27","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a28","Palet A28","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a29","Palet A29","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a30","Palet A30","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a31","Palet A31","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_a32","Palet A32","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b1","Palet B1","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b2","Palet B2","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b3","Palet B3","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b4","Palet B4","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b5","Palet B5","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b6","Palet B6","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b7","Palet B7","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b8","Palet B8","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b9","Palet B9","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b10","Palet B10","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b11","Palet B11","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b12","Palet B12","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b13","Palet B13","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b14","Palet B14","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b15","Palet B15","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b16","Palet B16","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b17","Palet B17","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b18","Palet B18","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b19","Palet B19","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b20","Palet B20","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b21","Palet B21","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b22","Palet B22","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b23","Palet B23","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b24","Palet B24","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b25","Palet B25","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b26","Palet B26","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b27","Palet B27","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b28","Palet B28","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b29","Palet B29","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b30","Palet B30","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
"physical_locations__gbk__stock__stock_primer_1_palet_b31","Palet B31","Physical Locations / GBK / Stock / Stock Primer 1","Internal Location"
